asset,system,dimension,level,n,p_confirm,p_valid_10d,fwd_10d_mean,incr_m1_mean,incr_m1_sum
BTC,GERHARD_SMA120,vol_regime,high,5,0.4,0.4,-0.023745769878121648,-0.0260636118420271,-0.1303180592101355
BTC,GERHARD_SMA120,vol_regime,low,38,0.7105263157894737,0.7631578947368421,0.02401174217029599,0.03317034737594321,1.2604732002858419
BTC,GERHARD_SMA120,vol_regime,mid,22,0.8181818181818182,0.6818181818181818,0.03861328474964701,0.009068862432334391,0.1995149735113566
BTC,GERHARD_SMA120,bull_env,bear,14,0.7142857142857143,0.7857142857142857,0.0328510688285492,0.05405172604692924,0.7567241646570093
BTC,GERHARD_SMA120,bull_env,bull,54,0.7037037037037037,0.6851851851851852,0.02009508701263794,0.009687043132299848,0.5231003291441918
BTC,GERHARD_SMA120,liquidity_regime,high,29,0.6896551724137931,0.6896551724137931,0.013480093039011105,0.013218706268198759,0.383342481777764
BTC,GERHARD_SMA120,liquidity_regime,low,39,0.717948717948718,0.717948717948718,0.029592999080790137,0.022986718257011207,0.8964820120234371
BTC,GERHARD_SMA120,weekend,0,57,0.7017543859649122,0.7192982456140351,0.020620592597258517,0.02375541409779467,1.3540586035742963
BTC,GERHARD_SMA120,weekend,1,11,0.7272727272727273,0.6363636363636364,0.033606898567127466,-0.0067485554339177444,-0.07423410977309519
BTC,GERHARD_SMA120,macro_risk_on,0.0,16,0.6875,0.6875,0.0504610227005991,-0.008106518894621613,-0.1297043023139458
BTC,GERHARD_SMA120,macro_risk_on,1.0,43,0.7209302325581395,0.7209302325581395,0.024879839020680836,0.034423156111217976,1.4801957127823728
BTC,LL3_k0.30,vol_regime,high,12,1.0,0.8333333333333334,-0.016898163339178245,-0.0047019286874948425,-0.056423144249938106
BTC,LL3_k0.30,vol_regime,low,41,0.926829268292683,0.8292682926829268,0.025357019701095128,0.004577063583395402,0.18765960691921146
BTC,LL3_k0.30,vol_regime,mid,31,1.0,0.7741935483870968,0.023360439771641886,0.00854671029823287,0.26494801924521894
BTC,LL3_k0.30,bull_env,bear,22,0.9545454545454546,0.7272727272727273,0.04104462668292196,-0.0020147357237142245,-0.044324185921712944
BTC,LL3_k0.30,bull_env,bull,63,0.9682539682539683,0.8412698412698413,0.010785420193260302,0.006994853256879787,0.4406757551834266
BTC,LL3_k0.30,liquidity_regime,high,36,1.0,0.8333333333333334,0.02727160272620217,0.00632498291173854,0.22769938482258745
BTC,LL3_k0.30,liquidity_regime,low,49,0.9387755102040817,0.7959183673469388,0.012258889001151107,0.0034418813150842087,0.16865218443912622
BTC,LL3_k0.30,weekend,0,60,0.9666666666666667,0.8333333333333334,0.023987160870963323,0.002651878296546008,0.1591126977927605
BTC,LL3_k0.30,weekend,1,25,0.96,0.76,0.005729344277675308,0.009489554858758126,0.23723887146895317
BTC,LL3_k0.30,macro_risk_on,0.0,26,0.9615384615384616,0.8076923076923077,0.02117681890033899,0.013118891873733872,0.34109118871708066
BTC,LL3_k0.30,macro_risk_on,1.0,53,0.9622641509433962,0.8113207547169812,0.021640532600134915,0.0009841226997476448,0.052158503086625174
BTC,LL2_k0.30,vol_regime,low,13,1.0,0.9230769230769231,0.041888788129794456,0.0017124055062636145,0.02226127158142699
BTC,LL2_k0.30,vol_regime,mid,8,1.0,1.0,0.03615725693827465,0.011040138477042313,0.0883211078163385
BTC,LL2_k0.30,bull_env,bear,7,1.0,0.8571428571428571,0.04637157730510285,-0.014492123892285094,-0.10144486724599566
BTC,LL2_k0.30,bull_env,bull,17,1.0,1.0,0.018747061693802018,0.02222346355516684,0.37779888043783627
