feature,bucket,n,confirmed_rate,confirmed_lo,confirmed_hi,reversed_early_rate,reversed_early_lo,reversed_early_hi,valid_3d_rate,valid_3d_lo,valid_3d_hi,valid_5d_rate,valid_5d_lo,valid_5d_hi,valid_10d_rate,valid_10d_lo,valid_10d_hi,valid_20d_rate,valid_20d_lo,valid_20d_hi,fwd_3d_mean,mae_3d_median,mfe_3d_median,excess_3d_mean,fwd_3d_median,win_3d,fwd_5d_mean,mae_5d_median,mfe_5d_median,excess_5d_mean,fwd_5d_median,win_5d,fwd_10d_mean,mae_10d_median,mfe_10d_median,excess_10d_mean,fwd_10d_median,win_10d,fwd_20d_mean,mae_20d_median,mfe_20d_median,excess_20d_mean,fwd_20d_median,win_20d,binning,system
ret_z20,<0.5,29,0.4827586206896552,0.3138581933079522,0.6556926202943085,0.5172413793103449,0.3443073797056916,0.6861418066920478,0.4827586206896552,0.3138581933079522,0.6556926202943085,0.41379310344827586,0.2551293527964552,0.5926247152148476,0.5172413793103449,0.3443073797056916,0.6861418066920478,0.41379310344827586,0.2551293527964552,0.5926247152148476,-0.014333544696260872,-0.028638021219437926,0.019755409219190945,-0.012816403358987543,-0.010988817469402168,0.41379310344827586,-0.011080440541640695,-0.028638021219437926,0.026261909751890133,-0.00853938523197265,-0.008104468890526184,0.41379310344827586,-0.009290420283977974,-0.06001233130095218,0.02716778523489949,-0.004604112389541192,-0.01055551275136768,0.4482758620689655,-0.0686518862102563,-0.10993618342438793,0.05424146698512977,-0.061261358705132864,-0.04181047064681742,0.3103448275862069,sigma,GERHARD_SMA120
ret_z20,0.5-1,39,0.5128205128205128,0.3619910864569657,0.661350712168669,0.48717948717948717,0.3386492878313309,0.6380089135430342,0.6410256410256411,0.484178631846895,0.772581153035089,0.6410256410256411,0.484178631846895,0.772581153035089,0.6410256410256411,0.484178631846895,0.772581153035089,0.5897435897435898,0.43418348473344903,0.7292091056459952,-0.015612041789212291,-0.03471822035570782,0.04190476190476189,-0.015062119815104929,-0.004739912493923248,0.48717948717948717,-0.007036079535187347,-0.03666503402080967,0.0424837579713182,-0.006161792689876775,-0.0010636601450777494,0.48717948717948717,-0.0025531484621750455,-0.056273001003680156,0.05700179533213645,-0.0007177845464385221,0.004060913705583813,0.5128205128205128,0.013472901336280851,-0.10901798736023338,0.09841004903013606,0.017596869270148474,0.013381371376404827,0.5641025641025641,sigma,GERHARD_SMA120
ret_z20,1-1.5,34,0.5,0.34069062628048985,0.6593093737195102,0.5,0.34069062628048985,0.6593093737195102,0.6764705882352942,0.5084258404811939,0.8086854867354143,0.6176470588235294,0.4504071999938267,0.7610003514839122,0.6764705882352942,0.5084258404811939,0.8086854867354143,0.6176470588235294,0.4504071999938267,0.7610003514839122,0.0015685644149131702,-0.02301625597729845,0.0329489973685993,0.003889148712195594,0.011069419626869414,0.5882352941176471,0.0002963060038276158,-0.031239328614748207,0.043137778172188224,0.004075643231256637,0.0061913465436732595,0.5294117647058824,-0.003654226731149754,-0.0426611571845405,0.07132493357689618,0.0035305123997597344,0.0279019616457169,0.6176470588235294,-0.00855580402731833,-0.07495295719567074,0.1061498446013201,0.004205428251688466,0.03340714918485499,0.5588235294117647,sigma,GERHARD_SMA120
ret_z20,1.5-2,31,0.6774193548387096,0.5014068555995079,0.8143076925268695,0.3225806451612903,0.18569230747313034,0.49859314440049185,0.7096774193548387,0.5340734004245933,0.8390437928156713,0.7419354838709677,0.5675352757228489,0.8629845626313024,0.6129032258064516,0.4382380114113197,0.7626712464872843,0.5806451612903226,0.40765964352020967,0.7358469692645074,0.0007785518349233152,-0.02737213883040135,0.05643577320937543,-0.0005994907834518106,0.01275131877757274,0.5161290322580645,0.01322166550950016,-0.03056442301161444,0.07670126874279115,0.010660077684347694,0.010409759978782684,0.5161290322580645,-0.007053925074759878,-0.04939691288595116,0.08657136616265815,-0.01316125667985563,0.0009570122509261481,0.5161290322580645,0.001421653818193627,-0.11418685121107264,0.09543145565729438,-0.012089035679935418,0.031295011130024974,0.5161290322580645,sigma,GERHARD_SMA120
ret_z20,2-2.5,20,0.8,0.5839782779742401,0.9193436467288,0.2,0.0806563532712,0.41602172202575993,0.65,0.43285051021946463,0.8188104521320554,0.6,0.3865779423152061,0.7811960325858074,0.65,0.43285051021946463,0.8188104521320554,0.65,0.43285051021946463,0.8188104521320554,-0.006059306941507048,-0.03413579898719482,0.035142472489532284,-0.0029144677961271412,-0.004875834004730462,0.45,-0.024694631149863443,-0.04034211469896465,0.04799220696847689,-0.01922534120235786,0.004392179254102679,0.55,-0.004041853893083436,-0.05824673916391643,0.07008581347917636,0.0073093147106231705,-0.002754427395771253,0.5,-0.030876707230550575,-0.12707677357869196,0.10179192229185041,-0.005414518755952176,-0.019270181064632796,0.45,sigma,GERHARD_SMA120
ret_z20,2.5-3,8,0.75,0.40926987910258916,0.9285223111419724,0.25,0.07147768885802763,0.5907301208974108,0.875,0.5291051942301386,0.9775830911367038,0.75,0.40926987910258916,0.9285223111419724,0.625,0.30573785458380187,0.863158240538479,0.5,0.21521252682444186,0.7847874731755582,0.015096598422495458,-0.055622469180003076,0.05243992290244304,0.01728959701014379,-0.00752436990900851,0.375,-0.027057927972991586,-0.06979376010373628,0.06390794907933417,-0.023448521644142614,-0.004379998822011455,0.5,-0.03729298850328232,-0.08438379763282355,0.06880251567424911,-0.030181872927976652,0.015989105356133737,0.5,-0.0811737958395455,-0.1656828405238106,0.07940754036786951,-0.06624201637421759,-0.09203181681518569,0.5,sigma,GERHARD_SMA120
ret_z20,>3,31,0.8064516129032258,0.6371939644454013,0.9081311641365236,0.1935483870967742,0.09186883586347633,0.36280603555459856,0.8064516129032258,0.6371939644454013,0.9081311641365236,0.8064516129032258,0.6371939644454013,0.9081311641365236,0.8064516129032258,0.6371939644454013,0.9081311641365236,0.7741935483870968,0.6018723994130262,0.8860500840550121,0.010322896151841916,-0.028366806788105103,0.05654083926680786,0.008108992732557127,0.016451967742771356,0.6129032258064516,0.02944555898613025,-0.028366806788105103,0.07773402812282892,0.02577017897546473,0.019224346832570904,0.6129032258064516,0.031747908506459865,-0.03830933139606352,0.09109645507007413,0.024494146862476557,0.02013166231084662,0.6451612903225806,0.04889349127488041,-0.0395476422873684,0.12975245212517517,0.03613482504197149,0.04767696424227674,0.7096774193548387,sigma,GERHARD_SMA120
ret2_z20,<0.5,38,0.5526315789473685,0.3970602917908942,0.6985383468844911,0.4473684210526316,0.3014616531155089,0.6029397082091058,0.6052631578947368,0.4471758699869596,0.7440214073638108,0.5263157894736842,0.37258710742710854,0.6752122119105841,0.7105263157894737,0.5524256173381024,0.8299689373634387,0.631578947368421,0.47283672824260115,0.7661598684458619,-0.0028466648414804427,-0.019807898704102656,0.03099924432936585,-0.0036116403328929655,0.0003662990391997134,0.5,-0.004120640567601311,-0.025237636428921573,0.041008950764672036,-0.005543392318220955,-0.007660936416384045,0.4473684210526316,0.018391528031786408,-0.029605059876586293,0.04909168736502706,0.01469855294479286,0.00688555497130694,0.5789473684210527,-0.0052121345808336765,-0.06330290164614172,0.06366304724368799,-0.015486671925934807,0.006701916007093134,0.5263157894736842,sigma,GERHARD_SMA120
ret2_z20,0.5-1,38,0.5789473684210527,0.42192070613127325,0.7214772518818047,0.42105263157894735,0.2785227481181953,0.5780792938687267,0.631578947368421,0.47283672824260115,0.7661598684458619,0.5,0.3484967553286069,0.6515032446713931,0.47368421052631576,0.3247877880894159,0.6274128925728913,0.5,0.3484967553286069,0.6515032446713931,-0.0047449540166014685,-0.02670265168375968,0.03419107944033628,-0.0041468768110010075,0.006010773772219702,0.5263157894736842,-0.009058228297697556,-0.0321195081405109,0.04784112962434439,-0.008177955742431634,-0.004584064517801967,0.47368421052631576,-0.029064803427300608,-0.07474437159636099,0.059593850558528394,-0.02786588523065648,-0.031596669513960285,0.42105263157894735,-0.01769362320151504,-0.10931897594497958,0.08172999557866667,-0.01560001311578901,-0.015130860155097736,0.47368421052631576,sigma,GERHARD_SMA120
ret2_z20,1-1.5,37,0.5135135135135135,0.3589463722598092,0.6655384667278896,0.4864864864864865,0.33446153327211037,0.6410536277401908,0.5945945945945946,0.4348568313132931,0.7365370416005986,0.6756756756756757,0.5146336850482394,0.8036692217918453,0.5675675675675675,0.40913906334200717,0.713285131596487,0.5945945945945946,0.4348568313132931,0.7365370416005986,-0.017033897330554652,-0.04012644674450616,0.037148520084566594,-0.014655509160579713,-0.015329189036450863,0.43243243243243246,-0.0046019500879456434,-0.06663947381838575,0.0424837579713182,-0.000668494396628652,-0.00928127454753458,0.4594594594594595,-0.005396535778376126,-0.07523311669963273,0.058547398617811997,0.0022692794086217253,0.0009570122509261481,0.5135135135135135,-0.0043674318756044056,-0.11418685121107264,0.09947047180858237,0.010893161429864021,0.037583892617449655,0.5405405405405406,sigma,GERHARD_SMA120
