asset,model,left_out,kind,dSharpe
ETH,M1_1close,2019-2020,cycle,-0.008728210869047515
ETH,M1_1close,2021 bull,cycle,-0.0967353665752615
ETH,M1_1close,2022 bear,cycle,-0.09464276363139401
ETH,M1_1close,2023-2024Q1,cycle,-0.14272307609473933
ETH,M1_1close,2024Q2+,cycle,-0.1967465825695378
ETH,FAST_both,2019,year,-0.06830571460982282
ETH,FAST_both,2020,year,-0.06932870807598068
ETH,FAST_both,2021,year,-0.0967353665752615
ETH,FAST_both,2022,year,-0.09464276363139401
ETH,FAST_both,2023,year,-0.13433531576821622
ETH,FAST_both,2024,year,-0.12375736463744291
ETH,FAST_both,2025,year,-0.1408432670374673
ETH,FAST_both,2026,year,-0.14398924948727798
ETH,FAST_both,2019-2020,cycle,-0.008728210869047515
ETH,FAST_both,2021 bull,cycle,-0.0967353665752615
ETH,FAST_both,2022 bear,cycle,-0.09464276363139401
ETH,FAST_both,2023-2024Q1,cycle,-0.14272307609473933
ETH,FAST_both,2024Q2+,cycle,-0.1967465825695378
ETH,M5_brk0.5_both,2019,year,0.04775411838979171
ETH,M5_brk0.5_both,2020,year,0.06282349286862221
ETH,M5_brk0.5_both,2021,year,0.008012078837098868
ETH,M5_brk0.5_both,2022,year,0.008741988225080544
ETH,M5_brk0.5_both,2023,year,0.01320278531421426
ETH,M5_brk0.5_both,2024,year,0.005382396868654049
ETH,M5_brk0.5_both,2025,year,0.015537826994072579
ETH,M5_brk0.5_both,2026,year,-0.009780865809650985
ETH,M5_brk0.5_both,2019-2020,cycle,0.10817889377972656
ETH,M5_brk0.5_both,2021 bull,cycle,0.008012078837098868
ETH,M5_brk0.5_both,2022 bear,cycle,0.008741988225080544
ETH,M5_brk0.5_both,2023-2024Q1,cycle,0.01162498946295687
ETH,M5_brk0.5_both,2024Q2+,cycle,-0.033589192853931804
ETH,FAST_up,2019,year,0.04149193087098724
ETH,FAST_up,2020,year,0.06991403103421834
ETH,FAST_up,2021,year,0.037579065679919976
ETH,FAST_up,2022,year,0.051600365533810644
ETH,FAST_up,2023,year,0.022531414415618345
ETH,FAST_up,2024,year,0.029481387042206153
ETH,FAST_up,2025,year,0.00923055724291244
ETH,FAST_up,2026,year,0.010890420024348035
ETH,FAST_up,2019-2020,cycle,0.08732336670657248
ETH,FAST_up,2021 bull,cycle,0.037579065679919976
ETH,FAST_up,2022 bear,cycle,0.051600365533810644
ETH,FAST_up,2023-2024Q1,cycle,0.024273807613572007
ETH,FAST_up,2024Q2+,cycle,-0.028297942328258108
ETH,M5_brk0.5_up,2019,year,0.05335733235680917
ETH,M5_brk0.5_up,2020,year,0.08225206550400743
ETH,M5_brk0.5_up,2021,year,0.05966296270688687
ETH,M5_brk0.5_up,2022,year,0.037639366570249466
ETH,M5_brk0.5_up,2023,year,0.05269469033144647
ETH,M5_brk0.5_up,2024,year,0.03920586608219212
ETH,M5_brk0.5_up,2025,year,0.05634629068383845
ETH,M5_brk0.5_up,2026,year,0.029417106887962063
ETH,M5_brk0.5_up,2019-2020,cycle,0.0917939118775487
ETH,M5_brk0.5_up,2021 bull,cycle,0.05966296270688687
ETH,M5_brk0.5_up,2022 bear,cycle,0.037639366570249466
