decision_date,next_date,basket_hash,basket_members,n_valid,coverage,F_tk,label_v0_0,label_v0_1,p_v0_0,p_v0_1,r_alts,r_maj_weighted,y,r_btc,r_eth,funding_pct_rank,funding_regime,btcd_index_decision,sma_30,BTCDOM_Trend,is_mrf_active,y_filtered,y_gated
2024-03-11,2024-03-18,"ADA,APT,ATOM,BCH,DOGE,DOT,ETC,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,SOL,STETH,STX,TAO,THETA,TRX,UNI,VET,XLM,XRP","SOL,STETH,XRP,ADA,DOGE,DOT,LINK,TRX,UNI,BCH,LTC,ICP,NEAR,FIL,ETC,ATOM,IMX,APT,OP,TAO,RENDER,STX,HBAR,GRT,XLM,PEPE,INJ,VET,KAS,THETA",26,86.66666666666667,0.0436475384615384,Green,,100.0,,-0.0250643047337179,-0.025434112881731,-0.000369808148013,-0.0094136076404169,-0.0628152917781306,,,,,Falling,False,0.0,0.0
2024-03-18,2024-03-25,"ADA,APT,ATOM,BCH,DOGE,DOT,ETC,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,SOL,STETH,STX,TAO,THETA,TRX,UNI,VET,XLM,XRP","SOL,STETH,XRP,ADA,DOGE,DOT,TRX,LINK,UNI,NEAR,BCH,LTC,ICP,APT,RENDER,FIL,ATOM,ETC,TAO,IMX,GRT,STX,HBAR,XLM,INJ,OP,PEPE,KAS,THETA,VET",26,86.66666666666667,0.0383760714285714,Green,,96.93877551020408,,-0.0011433294782261,-0.0269655880970111,-0.025822258618785,-0.0162868194170004,-0.051882715017036,,,,,Falling,False,0.0,0.0
2024-03-25,2024-04-01,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,SOL,STETH,STX,TAO,TRX,UNI,VET,XLM,XRP","SOL,XRP,STETH,DOGE,ADA,DOT,LINK,TRX,BCH,UNI,NEAR,ICP,LTC,APT,STX,FIL,ETC,ATOM,ARB,IMX,RENDER,TAO,XLM,OP,HBAR,GRT,KAS,PEPE,INJ,VET",26,86.66666666666667,0.0164475439560439,Green,,93.87755102040816,,0.0620473061264575,0.05747778414969,-0.0045695219767674,0.0584743823578293,0.0551523883306985,,,,,Falling,False,0.0,0.0
2024-04-01,2024-04-08,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FIL,GRT,HBAR,ICP,IMX,INJ,LINK,LTC,NEAR,OP,PEPE,RENDER,SOL,STETH,STX,TAO,TRX,UNI,VET,WIF,XLM,XRP","SOL,STETH,XRP,DOGE,ADA,BCH,DOT,LINK,TRX,UNI,ICP,LTC,NEAR,APT,STX,FIL,ETC,ATOM,WIF,ARB,IMX,RENDER,XLM,HBAR,OP,GRT,PEPE,TAO,VET,INJ",26,86.66666666666667,0.0434978076923077,Green,,98.9795918367347,,-0.083111768525639,-0.0338753239934576,0.0492364445321813,-0.0258955336921261,-0.0524948346965644,,,,,Falling,False,0.0,0.0
2024-04-08,2024-04-15,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,SOL,STETH,STX,TAO,TRX,UNI,WIF,XLM,XRP","SOL,STETH,XRP,DOGE,ADA,BCH,DOT,TRX,LINK,UNI,ICP,LTC,NEAR,APT,ETC,STX,FIL,ATOM,ARB,IMX,WIF,XLM,RENDER,TAO,HBAR,KAS,OP,GRT,INJ,PEPE",26,86.66666666666667,0.0144833571428571,Green,,91.83673469387756,,-0.1948577406118493,-0.0624995993532358,0.1323581412586134,-0.0525822735586044,-0.0856400262073758,,,,,Falling,False,0.0,0.0
2024-04-15,2024-04-22,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,RENDER,SOL,STETH,STX,TAO,TRX,UNI,VET,WIF,XLM,XRP","SOL,STETH,XRP,DOGE,ADA,BCH,TRX,DOT,LINK,NEAR,ICP,LTC,UNI,APT,STX,ETC,TAO,RENDER,FIL,ATOM,XLM,ARB,VET,IMX,WIF,HBAR,KAS,GRT,INJ,OP",28,93.33333333333331,0.0070438290816326,YellowGreen,,74.48979591836735,,0.0215275078870632,-0.0096915865262292,-0.0312190944132925,-0.0124137835629444,-0.0033397934405604,,,,,Falling,False,0.0,0.0
2024-04-22,2024-04-29,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,RENDER,SOL,STETH,STX,TAO,TRX,UNI,VET,WIF,XLM,XRP","SOL,STETH,XRP,DOGE,ADA,BCH,TRX,DOT,LINK,ICP,NEAR,LTC,UNI,APT,STX,ETC,FIL,RENDER,ATOM,XLM,IMX,HBAR,ARB,TAO,VET,WIF,KAS,GRT,OP,INJ",28,93.33333333333331,0.0018457142857142,Orange,,34.69387755102041,,-0.0371759074325283,-0.0098348891555409,0.0273410182769874,-0.0293515891063832,0.0357040773964245,,,,,Falling,False,0.0,0.0
2024-04-29,2024-05-06,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FIL,GRT,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,SOL,STETH,STX,TAO,TRX,UNI,VET,WIF,XLM,XRP","SOL,STETH,XRP,DOGE,ADA,TRX,BCH,DOT,LINK,NEAR,ICP,LTC,UNI,ETC,APT,HBAR,STX,XLM,FIL,ATOM,RENDER,IMX,PEPE,ARB,VET,TAO,OP,KAS,WIF,GRT",27,90.0,0.0010683756613756,Orange,,28.57142857142857,,0.0430631294066878,-0.000435231415407,-0.0434983608220948,0.0155413024981603,-0.0377138105470642,,,,,Falling,False,0.0,0.0
2024-05-06,2024-05-13,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,EZETH,FET,FIL,GRT,HBAR,ICP,IMX,LINK,LTC,NEAR,OP,PEPE,RENDER,SOL,STETH,STX,TAO,TRX,UNI,WIF,XLM,XRP","SOL,STETH,XRP,DOGE,ADA,TRX,DOT,BCH,LINK,NEAR,LTC,ICP,FET,UNI,ETC,APT,HBAR,RENDER,ATOM,PEPE,FIL,STX,IMX,WIF,XLM,EZETH,TAO,OP,ARB,GRT",26,86.66666666666667,0.001419445054945,Orange,,30.612244897959183,,-0.0602722675730241,-0.04700445240401,0.013267815169014,-0.0391025513149201,-0.0654422216118865,,,,,Falling,False,0.0,0.0
2024-05-13,2024-05-20,"ADA,APT,AR,ARB,ATOM,BCH,DOGE,DOT,ETC,EZETH,FET,FIL,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,SOL,STETH,STX,TRX,UNI,WIF,XLM,XRP","SOL,XRP,STETH,DOGE,ADA,TRX,DOT,BCH,LINK,NEAR,LTC,FET,ICP,UNI,RENDER,ETC,HBAR,PEPE,APT,ATOM,IMX,FIL,XLM,WIF,STX,KAS,EZETH,AR,ARB,OP",26,86.66666666666667,0.0047611153846153,YellowGreen,,62.24489795918368,,0.0333152667998618,0.0683389004144394,0.0350236336145775,0.0771563305808273,0.0477648966928674,,,,,Falling,False,0.0,0.0
