variant,delta_sharpe,ci_lo,ci_hi,p_delta_le_0,avg_exp,avg_exp_base
C linear taper on pctile,-0.18358053702653665,-0.9704015571357324,0.43454408450394916,0.7326666666666667,0.5258629017434518,0.6146072271450428
D taper floored at 0.25,-0.17995100544758724,-0.9213604645567246,0.4644978046323628,0.7293333333333333,0.5333472812500423,0.6146072271450428
"E taper, top-quartile off",-0.09708663398694029,-0.7666495955466422,0.4882254544823632,0.6283333333333333,0.6403026099775003,0.6146072271450428
