variant,CAGR,vol,Sharpe,MaxDD,Calmar,avg_exposure,turnover_ann
no spread gate,0.6690461606265437,0.35656546191847066,1.876362777894406,-0.24449667616530568,2.7364223151000937,0.82955382919469,52.44734745885725
A current binary @7.5e-05,0.69214403200949,0.31741889683258223,2.1805382065030328,-0.20369995258101337,3.3978605455699253,0.6146072271450428,78.49454121557257
B binary @ matched pctile,0.5964956435007758,0.31827633000683064,1.8741439034689578,-0.21948225962722967,2.7177396684081367,0.5992179335034175,69.73156785802219
C linear taper on pctile,0.48876389291936384,0.2447542581348225,1.9969576694764961,-0.18155628310167815,2.692079197532581,0.5258629017434518,59.982512766118724
D taper floored at 0.25,0.49057437543057314,0.24521519240539072,2.0005872010554455,-0.17562962656999248,2.7932324688686156,0.5333472812500423,58.573114908512565
"E taper, top-quartile off",0.6260506596519375,0.3004872625361211,2.0834515725160925,-0.2119877159224347,2.9532402711532892,0.6403026099775003,66.3539436580625
