date,score,regime
2024-06-22,0.2936626919029314,WEAK_RISK_ON_MAJORS
2024-06-23,0.2145093531419177,WEAK_RISK_ON_MAJORS
2024-06-24,0.2423313877729033,WEAK_RISK_ON_MAJORS
2024-06-25,-0.171919934006176,BALANCED
2024-06-26,0.46749134298966266,BALANCED
2024-06-27,0.02290144533267313,BALANCED
2024-06-28,0.32592813582865227,BALANCED
2024-06-29,0.6415875605106881,WEAK_RISK_ON_MAJORS
2024-06-30,-0.03298331015896552,BALANCED
2024-07-01,0.13683313252869939,BALANCED
2024-07-02,0.8357678716296244,WEAK_RISK_ON_MAJORS
2024-07-03,0.465435205611518,WEAK_RISK_ON_MAJORS
2024-07-04,-0.17090620334931148,BALANCED
2024-07-05,0.46294588024016303,BALANCED
2024-07-06,0.15599513536051046,BALANCED
2024-07-07,0.8694313141704835,WEAK_RISK_ON_MAJORS
2024-07-08,0.5257281436140622,WEAK_RISK_ON_MAJORS
2024-07-09,0.3773407796478909,WEAK_RISK_ON_MAJORS
2024-07-10,0.5431750007717019,WEAK_RISK_ON_MAJORS
2024-07-11,0.3308250423031566,WEAK_RISK_ON_MAJORS
2024-07-12,0.1087990102197121,BALANCED
2024-07-13,0.26824240515587416,BALANCED
2024-07-14,0.91656861211713,WEAK_RISK_ON_MAJORS
2024-07-15,1.4641442993791833,WEAK_RISK_ON_MAJORS
2024-07-16,1.3076277076277258,WEAK_RISK_ON_MAJORS
2024-07-17,1.0542704067193127,WEAK_RISK_ON_MAJORS
2024-07-18,1.2301251297616305,WEAK_RISK_ON_MAJORS
2024-07-19,0.7428836084722218,WEAK_RISK_ON_MAJORS
2024-07-20,0.5,WEAK_RISK_ON_MAJORS
2024-07-21,0.5270962498252045,WEAK_RISK_ON_MAJORS
2024-07-22,0.8473859387392061,WEAK_RISK_ON_MAJORS
2024-07-23,0.0,BALANCED
2024-07-24,0.0,BALANCED
2024-07-25,0.0,BALANCED
2024-07-26,0.0,BALANCED
2024-07-27,0.0,BALANCED
2024-07-28,0.0,BALANCED
2024-07-29,0.0,BALANCED
2024-07-30,0.0,BALANCED
2024-07-31,0.0,BALANCED
2024-08-01,0.0,BALANCED
2024-08-02,0.0,BALANCED
2024-08-03,0.0,BALANCED
2024-08-04,0.0,BALANCED
2024-08-05,0.0,BALANCED
2024-08-06,0.0,BALANCED
2024-08-07,0.0,BALANCED
2024-08-08,0.0,BALANCED
2024-08-09,0.0,BALANCED
2024-08-10,0.0,BALANCED
2024-08-11,0.0,BALANCED
2024-08-12,0.0,BALANCED
2024-08-13,0.0,BALANCED
2024-08-14,0.0,BALANCED
2024-08-15,0.0,BALANCED
2024-08-16,0.0,BALANCED
2024-08-17,0.0,BALANCED
2024-08-18,0.0,BALANCED
2024-08-19,0.0,BALANCED
2024-08-20,0.0,BALANCED
2024-08-21,0.0,BALANCED
2024-08-22,0.0,BALANCED
2024-08-23,0.0,BALANCED
2024-08-24,0.0,BALANCED
2024-08-25,0.0,BALANCED
2024-08-26,0.0,BALANCED
2024-08-27,0.0,BALANCED
2024-08-28,0.0,BALANCED
2024-08-29,0.0,BALANCED
2024-08-30,0.0,BALANCED
2024-08-31,0.0,BALANCED
2024-09-01,0.0,BALANCED
2024-09-02,0.0,BALANCED
2024-09-03,0.0,BALANCED
2024-09-04,0.0,BALANCED
2024-09-05,0.0,BALANCED
2024-09-06,0.0,BALANCED
2024-09-07,0.0,BALANCED
2024-09-08,0.0,BALANCED
2024-09-09,0.0,BALANCED
2024-09-10,0.0,BALANCED
2024-09-11,0.0,BALANCED
2024-09-12,0.0,BALANCED
2024-09-13,0.0,BALANCED
2024-09-14,0.0,BALANCED
2024-09-15,0.0,BALANCED
2024-09-16,0.0,BALANCED
2024-09-17,0.0,BALANCED
2024-09-18,0.0,BALANCED
2024-09-19,0.0,BALANCED
2024-09-20,0.0,BALANCED
2024-09-21,0.0,BALANCED
2024-09-22,0.0,BALANCED
2024-09-23,0.0,BALANCED
2024-09-24,0.0,BALANCED
2024-09-25,0.0,BALANCED
2024-09-26,0.0,BALANCED
2024-09-27,0.0,BALANCED
2024-09-28,0.0,BALANCED
2024-09-29,0.0,BALANCED
2024-09-30,0.0,BALANCED
2024-10-01,0.0,BALANCED
2024-10-02,0.0,BALANCED
2024-10-03,-0.6470023520914908,WEAK_RISK_ON_ALTS
2024-10-04,-0.556311017558343,WEAK_RISK_ON_ALTS
2024-10-05,-0.17099135293122047,WEAK_RISK_ON_ALTS
2024-10-06,-0.5372325968905822,WEAK_RISK_ON_ALTS
2024-10-07,-0.20272399944264402,WEAK_RISK_ON_ALTS
2024-10-08,-0.7225261740743343,WEAK_RISK_ON_ALTS
2024-10-09,-0.5759775472569459,WEAK_RISK_ON_ALTS
2024-10-10,-0.7500635748970483,WEAK_RISK_ON_ALTS
2024-10-11,-0.338911875036032,WEAK_RISK_ON_ALTS
2024-10-12,0.10270721856312598,BALANCED
2024-10-13,-0.16850786414457955,BALANCED
2024-10-14,-0.35012688625836896,BALANCED
2024-10-15,-0.04363377313273255,BALANCED
2024-10-16,-0.49848282363978724,BALANCED
2024-10-17,-0.31948882404650947,BALANCED
2024-10-18,-0.22103575113856022,BALANCED
2024-10-19,0.0423054108502975,BALANCED
2024-10-20,-0.1659935251576851,BALANCED
2024-10-21,0.10731842615908893,BALANCED
2024-10-22,-0.505252721190986,WEAK_RISK_ON_ALTS
2024-10-23,-0.31183105780337644,WEAK_RISK_ON_ALTS
2024-10-24,0.046730206868402735,BALANCED
2024-10-25,1.1989896215489069,WEAK_RISK_ON_MAJORS
2024-10-26,-0.2899758652397264,BALANCED
2024-10-27,0.5636815940684572,WEAK_RISK_ON_MAJORS
2024-10-28,0.1352803329501367,WEAK_RISK_ON_MAJORS
2024-10-29,0.41443212900188753,WEAK_RISK_ON_MAJORS
2024-10-30,0.6660199660946844,WEAK_RISK_ON_MAJORS
2024-10-31,0.8590524346031683,WEAK_RISK_ON_MAJORS
2024-11-01,0.15644484825141972,BALANCED
2024-11-02,0.1646796929531903,BALANCED
2024-11-03,-0.14914304934473258,BALANCED
2024-11-04,0.29596441590718053,BALANCED
2024-11-05,0.12712534660647584,BALANCED
2024-11-06,1.103053698442993,WEAK_RISK_ON_MAJORS
2024-11-07,0.8016744800664574,WEAK_RISK_ON_MAJORS
2024-11-08,0.6989431928737208,WEAK_RISK_ON_MAJORS
2024-11-09,0.793369767535697,WEAK_RISK_ON_MAJORS
2024-11-10,-0.14808946815495863,BALANCED
2024-11-11,0.4559252577713988,BALANCED
2024-11-12,0.5,BALANCED
2024-11-13,0.5,BALANCED
2024-11-14,0.25781724371048587,BALANCED
2024-11-15,0.2844312914066045,BALANCED
2024-11-16,0.3496700726275737,BALANCED
2024-11-17,-0.22433942866516152,BALANCED
2024-11-18,-0.32925830017404484,BALANCED
2024-11-19,-0.14585840938493694,BALANCED
2024-11-20,0.001535075216937255,BALANCED
2024-11-21,-0.01728546844766821,BALANCED
2024-11-22,0.607997678389242,WEAK_RISK_ON_MAJORS
2024-11-23,0.37729685165906535,WEAK_RISK_ON_MAJORS
2024-11-24,-0.2941393722235555,BALANCED
2024-11-25,-0.6746326880307207,WEAK_RISK_ON_ALTS
2024-11-26,-0.28902590932018474,WEAK_RISK_ON_ALTS
2024-11-27,-0.32433339212831436,WEAK_RISK_ON_ALTS
2024-11-28,0.33471769264748563,BALANCED
2024-11-29,0.2297978776467918,BALANCED
2024-11-30,0.23546346903301024,BALANCED
2024-12-01,0.24909376867414362,BALANCED
2024-12-02,0.25518766256749975,BALANCED
2024-12-03,0.14157413716888434,BALANCED
2024-12-04,-0.2512809545421269,BALANCED
2024-12-05,0.6846581534046982,WEAK_RISK_ON_MAJORS
2024-12-06,0.3974051884163796,WEAK_RISK_ON_MAJORS
2024-12-07,0.0,BALANCED
2024-12-08,0.0,BALANCED
2024-12-09,0.0,BALANCED
2024-12-10,0.0,BALANCED
2024-12-11,0.0,BALANCED
2024-12-12,0.0,BALANCED
2024-12-13,0.0,BALANCED
2024-12-14,0.0,BALANCED
2024-12-15,0.0,BALANCED
2024-12-16,0.0,BALANCED
2024-12-17,0.0,BALANCED
2024-12-18,0.0,BALANCED
2024-12-19,0.0,BALANCED
2024-12-20,0.0,BALANCED
2024-12-21,0.0,BALANCED
2024-12-22,0.0,BALANCED
2024-12-23,0.0,BALANCED
2024-12-24,0.0,BALANCED
2024-12-25,0.0,BALANCED
2024-12-26,0.0,BALANCED
2024-12-27,0.0,BALANCED
2024-12-28,0.0,BALANCED
2024-12-29,0.0,BALANCED
2024-12-30,0.0,BALANCED
2024-12-31,0.0,BALANCED
