symbol,weight,side,marketcap,adv_30d
SAND,-0.0026595744680851063,short,1626604034.003261,359542435.2318222
SANTOS,-0.0026595744680851063,short,24458788.81327571,106444382.3269975
SAVAX,-0.0026595744680851063,short,443879625.51193154,276355958.6739383
SBD,-0.0026595744680851063,short,54090208.08687329,22891047.294841144
SCR,-0.0026595744680851063,short,125727174.53199959,52155099.83110668
SD,-0.0026595744680851063,short,52177976.42723975,11982328.570890052
SEI,-0.0026595744680851063,short,2659889712.7385507,332680407.4152916
SETH,-0.0026595744680851063,short,2010948.29733979,39608875.094798975
SETH2,-0.0026595744680851063,short,23160504.110658135,128535185.1056245
SFP,-0.0026595744680851063,short,372073843.00291383,8259905.785435096
SFRXETH,-0.0026595744680851063,short,419213438.8829651,3258820402.943053
SFUND,-0.0026595744680851063,short,123861281.98567665,5400281.83777452
SKL,-0.0026595744680851063,short,415894613.75000644,5145845.823132297
SNX,-0.0026595744680851063,short,862465215.6248041,180370515.59286925
SSV,-0.0026595744680851063,short,227287639.1760446,2658006005.1244144
STATOM,-0.0026595744680851063,short,32920601.7322844,5579812.897590627
STEEM,-0.0026595744680851063,short,128228029.83217025,8557831.462541282
STETH,-0.0026595744680851063,short,36439282386.01828,339285652939.8653
STG,-0.0026595744680851063,short,84403308.90637155,20677749.357903708
STORJ,-0.0026595744680851063,short,93183457.86911383,27460712.300776392
STRK,-0.0026595744680851063,short,1496754817.662112,131033803.31071174
STSOL,-0.0026595744680851063,short,30677185.891441725,81256164.64466177
STX,-0.0026595744680851063,short,3481773082.496595,755575743.4484354
SUI,-0.0026595744680851063,short,9934380929.61596,7503907373.305026
SUNDOG,-0.0026595744680851063,short,158689127.2235637,17863216.60181704
SUPER,-0.0026595744680851063,short,654639969.6718233,60973351.65652819
SUSHI,-0.0026595744680851063,short,257831345.6820028,142782650.8672056
SWELL,-0.0026595744680851063,short,64026090.856502846,4011768.8668750455
SWETH,-0.0026595744680851063,short,483895408.17161345,6553021098.236132
SXP,-0.0026595744680851063,short,259788919.72639304,27946032.705791015
SYN,-0.0026595744680851063,short,153998575.71202025,11616875.936140276
TAO,-0.0026595744680851063,short,4992559133.726144,180430838538.9454
TBTC,-0.0026595744680851063,short,508388413.2693365,3289706240529.6353
TET,-0.0026595744680851063,short,76981020.2515064,10942656.938708356
THETA,-0.0026595744680851063,short,3096653418.87371,284612576.13133156
TIA,-0.0026595744680851063,short,3665383914.9544225,4306203356.267111
TIME,-0.0026595744680851063,short,16394040.684905617,12344630.728103867
TKO,-0.0026595744680851063,short,29282532.954601254,2910290.032663522
TKX,-0.0026595744680851063,short,1095774927.8066087,137883175.38151166
TLOS,-0.0026595744680851063,short,84739443.20887576,3599547.881975288
TOMI,-0.0026595744680851063,short,6250437.629431815,148034.6686386866
TON,-0.0026595744680851063,short,115059441.9525309,45006891.83754891
TRAC,-0.0026595744680851063,short,16306957.716794912,698982.6933108788
TRB,-0.0026595744680851063,short,207190769.58186707,16523035098.153812
TRIAS,-0.0026595744680851063,short,58459933.74859069,6880401.009381551
TRU,-0.0026595744680851063,short,162251885.7204912,5274990.858153588
TWT,-0.0026595744680851063,short,501903206.73676974,38053262.59509202
ULTIMA,-0.0026595744680851063,short,232964127.91471627,18678279655.197887
UMA,-0.0026595744680851063,short,271810024.5970887,104650876.0388129
UNI,-0.0026595744680851063,short,7686809024.358876,8722463429.149374
UQC,-0.0026595744680851063,short,75052510.91572793,4275962.088966785
USD+,-0.0026595744680851063,short,48099300.84597439,7572884.935837879
USDD,-0.0026595744680851063,short,754907315.3665916,3279674.926585267
USDE,-0.0026595744680851063,short,4438509742.885786,177794174.22951803
VCNT,-0.0026595744680851063,short,58543542.16578388,4167429.2605287014
VET,-0.0026595744680851063,short,3726884578.593831,6469619.744586769
VIC,-0.0026595744680851063,short,55931817.65826488,3255480.6647886974
VOXEL,-0.0026595744680851063,short,46066512.31378601,3677154.0032140044
W,-0.0026595744680851063,short,898588883.7418275,45253578.622240156
WAVES,-0.0026595744680851063,short,223960234.2865274,156688806.33903664
WBETH,-0.0026595744680851063,short,277796024.3168708,66122285853.102745
WBT,-0.0026595744680851063,short,3384026611.239032,671434954.8518224
WEMIX,-0.0026595744680851063,short,512044307.9729489,12031937.653910348
WHITE,-0.0026595744680851063,short,56333849.572183624,8192380.184957106
WIF,-0.0026595744680851063,short,3191064435.270609,5503541740.499828
WLD,-0.0026595744680851063,short,2601744512.20267,2648309045.7485223
WNXM,-0.0026595744680851063,short,61247641.415481396,55759592.549994215
WOO,-0.0026595744680851063,short,534768653.8507673,15474322.091083298
XAUT,-0.0026595744680851063,short,654891694.7297761,15162197954.328152
XCH,-0.0026595744680851063,short,418313184.2333864,532888963.5110503
XLM,-0.0026595744680851063,short,15858291836.371973,945036116.2344439
XMR,-0.0026595744680851063,short,3008355780.258052,16089420626.125183
XNO,-0.0026595744680851063,short,195460749.72184598,4790517.072483425
XRP,-0.0026595744680851063,short,110604358349.34161,14637435090.96623
XSGD,-0.0026595744680851063,short,34436301.03765916,16693381.803893657
XTZ,-0.0026595744680851063,short,1716683409.4674735,288816253.09341913
XVS,-0.0026595744680851063,short,163356357.64222652,136621278.53237763
YFI,-0.0026595744680851063,short,271857123.37212706,479301645885.6339
YFII,-0.0026595744680851063,short,15833048.636378838,1187640354.014944
YGG,-0.0026595744680851063,short,269096585.8039054,77313426.47587344
ZEN,-0.0026595744680851063,short,257960479.39728087,553002605.3727287
ZEPH,-0.0026595744680851063,short,15723202.712629007,1531671.7094180195
ZETA,-0.0026595744680851063,short,441511468.3929233,78388916.78469367
ZK,-0.0026595744680851063,short,700466810.8255888,25521739.05663195
ZRO,-0.0026595744680851063,short,550284112.2880223,833593543.6447983
ZRX,-0.0026595744680851063,short,496045017.2570002,56464426.97472165
